symbol,community
ZNF462,21
ANKRD11,5
BZRAP1,153
GOLGA2,35
IKZF1,148
MKRN3,9
NCOA1,5
NCOA2,5
PDE4DIP,400
TRAF2,13
TRIM37,9
ANKRD12,556
FYN,2
GLIPR2,556
GNB4,30
HIF1AN,90
PHYHIP,556
SGPL1,336
SLIT2,556
TADA3,24
ULBP2,556
ANKRD13A,138
CAV1,124
STOM,176
ANKRD13B,365
ANKRD13C,472
PTGDR,472
ANKRD27,253
RAB40A,253
RAB40B,253
RAB40C,253
ANKRD28,79
ACACB,275
AKAP8L,1
ANKRD44,84
APC,119
ARHGEF2,1
CEP162,6
CEP192,6
CSNK2B,1
DNAJB1,1
FAM175B,230
FAM193A,79
FBF1,6
HECTD1,1
KRI1,1
MAGED1,1
MTMR3,345
NEK4,223
NFATC4,236
NOTCH2,84
PLEKHG1,323
PPP1R9A,3
PPP1R9B,3
PPP6C,1
PPP6R2,79
PPP6R3,1
RAD21,1
RASSF8,7
RCN2,1
SDCCAG3,6
SHKBP1,236
SMC1A,1
SMC3,1
SNX18,133
TBK1,13
TBKBP1,82
TRIM41,42
UBR5,1
USP10,1
ANLN,3
ABLIM1,3
ACTG1,1
ACTN1,1
AFAP1,3
AKAP2,3
ARHGAP11A,3
ARHGAP21,3
ARHGEF17,3
BLMH,1
CALM1,1
CALML3,3
CAMK2G,300
CAPZA1,3
CIT,179
CLIC1,3
CLINT1,3
CLTC,3
CORO2A,3
CPM,3
DST,3
EEF1D,1
ELP3,284
FEM1A,296
FLNA,3
FSCN1,1
GTSE1,3
INTS7,165
LIMCH1,3
LMO7,3
MARCH10,3
MEN1,11
MICAL3,3
MPRIP,3
MRPL16,38
MRPL38,38
MYL12A,1
MYL6,3
MYL6B,3
MYLK,3
MYO18A,3
MYO19,3
MYO1B,3
MYO1C,3
MYO1E,3
MYO5A,3
MYO5B,3
MYO5C,3
NEXN,3
NR3C1,5
NUMB,3
PICALM,3
PIK3C2A,3
PLEKHG3,3
PPP1R12B,3
RAI14,3
SEPT10,461
SEPT6,1
SEPT7,1
SEPT9,1
SIPA1,3
SORD,483
SPECC1L,3
SPTBN1,3
SSFA2,3
SSH2,3
ST5,3
SYNPO,3
TCEA2,1
TMOD1,3
TNFAIP1,3
TPM3,3
TPM4,3
TPRN,3
TRIOBP,3
TWF1,3
UACA,3
UBAP2L,1
ZBTB20,3
ZWILCH,98
ANP32E,1
AHCYL2,1
PAPPA,12
RPS2,1
SNX2,97
SNX6,359
ANXA2,1
AHNAK2,10
ANXA13,1
APOH,43
CTSB,189
DNAJC8,1
GNB2L1,1
HMGA1,1
KLHL42,36
LOC100128588,1
MLH1,1
PLA2G4A,99
PLAT,235
RPS13,1
S100A10,1
STAT3,2
ANXA5,1
CPNE3,1
CPSF6,1
CRNN,218
EIF5B,1
FDFT1,185
GCN1L1,1
HPRT1,1
ITGB5,162
LAMC3,70
LRRC15,114
NDRG1,1
PLS3,1
PPT2,1
PUM1,1
PYGL,1
SND1,1
TRAP1,1
A1BG,435
A2M,565
ACTL6B,20
ADAMTS10,377
ANGPT2,162
APLP1,96
C11orf54,87
C14orf1,91
CCDC90B,91
CELF3,88
CENPB,213
CHGB,352
CLEC3B,408
COL11A2,91
COL4A2,177
COL4A5,381
COPS6,36
CPNE2,17
CPNE6,91
CPSF3L,165
CSAD,435
DDAH2,112
DMPK,91
DOCK7,79
DVL1,12
DYNC1I1,60
EXT2,308
F13A1,91
FAF1,1
FBN3,205
FGB,156
FLAD1,483
GAPDH,1
GBP2,91
GDF9,91
GNB2,1
GNB5,573
HADHB,1
HMGXB3,91
HOXD8,235
INPP5K,393
KLHL23,538
KMT2B,89
LRIF1,21
MED31,17
MOB1A,79
MPPED1,523
MSH2,1
NGFR,181
NMT2,226
NPRL2,423
OTUB1,1
PAAF1,10
PDHB,1
PKM,1
PLD3,91
PSMB10,10
QARS,1
RBM48,96
RPL13,1
SDF4,223
SEMA5B,91
SMPD1,91
SP110,91
SRI,451
SUMO3,39
TAF5L,24
TIAM2,153
TLE1,91
TMEM108,488
TMSB4X,336
TRMT2A,79
TTN,1
TUBA1A,1
TUBB2B,1
UBE3C,10
UNC119,91
USP4,54
WDR18,1
WDR73,130
ZBTB16,5
ZNF135,205
ZNF431,91
Afti,62
AP1B1,62
AP1M1,62
AP1M2,62
AP1S1,62
ARF1,62
CORO7,233
DCPS,62
MAP1A,62
NECAP1,123
NECAP2,62
NPM3,1
OSBPL11,384
PRRC1,1
SYNRG,62
SYP,4
ARMC6,1
EBLN2,449
RAB10,1
SEC61A1,1
SLC16A1,8
AFTPH,62
AP1AR,62
C19orf52,169
CCM2,12
GGCX,263
HEATR5B,62
NBEAL1,62
NOP58,1
NUDT3,519
SEC13,1
SLC43A3,323
STX8,32
UBE2M,1
VTI1B,32
PRKAG1,49
AP3B1,37
AP3D1,385
AP3M1,37
AP3S1,170
ARF5,72
ARF6,475
ATRX,1
CCDC154,37
CDC73,1
GKAP1,56
LRSAM1,9
MCM3,1
MFAP1,1
NAF1,37
PELP1,1
POLD1,1
PRPF38A,1
AP3B2,170
